head_word,in_coha_early,in_coha_all
absorbability,FALSE,TRUE
absorbable,TRUE,TRUE
absorbedly,TRUE,TRUE
absorbency,FALSE,TRUE
absorbent,TRUE,TRUE
absorber,TRUE,TRUE
absorbing,TRUE,TRUE
absorbition,FALSE,FALSE
absorpt,FALSE,FALSE
absorption,TRUE,TRUE
absorptive,TRUE,TRUE
absorptiveness,FALSE,TRUE
absorptivity,FALSE,FALSE
absquatulate,TRUE,TRUE
absque_hoc,FALSE,FALSE
abstain,TRUE,TRUE
abstainer,TRUE,TRUE
abstemious,TRUE,TRUE
abstemiousness,TRUE,TRUE
abstention,TRUE,TRUE
abstentious,FALSE,FALSE
absterge,FALSE,FALSE
abstergent,TRUE,TRUE
absterse,FALSE,FALSE
abstersion,FALSE,TRUE
abstersive,FALSE,TRUE
abstersiveness,FALSE,FALSE
abstinence,TRUE,TRUE
abstinency,FALSE,FALSE
abstinent,TRUE,TRUE
abstinently,FALSE,FALSE
abstorted,FALSE,FALSE
abstract,TRUE,TRUE
abstracted,TRUE,TRUE
abstractedly,TRUE,TRUE
abstractedness,TRUE,TRUE
abstracter,TRUE,TRUE
abstraction,TRUE,TRUE
abstractional,FALSE,FALSE
abstractionist,TRUE,TRUE
abstractitious,FALSE,FALSE
abstractive,TRUE,TRUE
abstractively,FALSE,FALSE
abstractiveness,FALSE,FALSE
abstractly,TRUE,TRUE
abstractness,TRUE,TRUE
abstringe,FALSE,FALSE
abstrude,FALSE,FALSE
abstruse,TRUE,TRUE
abstrusely,TRUE,TRUE
abstruseness,TRUE,TRUE
abstrusion,FALSE,FALSE
abstrusity,FALSE,FALSE
absume,FALSE,FALSE
absumption,FALSE,FALSE
absurd,TRUE,TRUE
absurdity,TRUE,TRUE
absurdly,TRUE,TRUE
absurdness,FALSE,TRUE
abuna,TRUE,TRUE
abundance,TRUE,TRUE
abundant,TRUE,TRUE
abundantly,TRUE,TRUE
aburst,FALSE,FALSE
abusable,FALSE,TRUE
abusage,FALSE,FALSE
abuse,TRUE,TRUE
abuseful,FALSE,FALSE
abuser,TRUE,TRUE
abusion,FALSE,FALSE
abusive,TRUE,TRUE
abusively,TRUE,TRUE
abusiveness,TRUE,TRUE
abut,TRUE,TRUE
abutilon,TRUE,TRUE
abutment,TRUE,TRUE
abuttal,FALSE,FALSE
abutter,TRUE,TRUE
abuzz,FALSE,TRUE
aby,TRUE,TRUE
abye,FALSE,TRUE
abysm,TRUE,TRUE
abysmal,TRUE,TRUE
abysmally,TRUE,TRUE
abyss,TRUE,TRUE
abyssal,TRUE,TRUE
abyssinian,TRUE,TRUE
acacia,TRUE,TRUE
acacin,FALSE,FALSE
acacine,FALSE,FALSE
academe,TRUE,TRUE
academial,FALSE,FALSE
academian,FALSE,FALSE
academic,TRUE,TRUE
academical,TRUE,TRUE
academically,TRUE,TRUE
academicals,FALSE,FALSE
academician,TRUE,TRUE
academicism,FALSE,TRUE
academism,FALSE,TRUE
academist,TRUE,TRUE
academy,TRUE,TRUE
acadian,TRUE,TRUE
acajou,FALSE,TRUE
acaleph,FALSE,FALSE
acalephan,FALSE,FALSE
acalephae,TRUE,TRUE
acalephoid,FALSE,FALSE
acalycine,FALSE,FALSE
acalysinous,FALSE,FALSE
acanth,FALSE,FALSE
acantha,FALSE,FALSE
acanthaceous,FALSE,FALSE
acanthine,FALSE,FALSE
acanthocarpous,FALSE,FALSE
acanthocephala,FALSE,FALSE
acanthocephalous,FALSE,FALSE
acanthophorous,FALSE,FALSE
acanthopodious,FALSE,FALSE
acanthopteri,FALSE,FALSE
acanthopterous,FALSE,FALSE
acanthopterygian,FALSE,TRUE
acanthopterygii,FALSE,FALSE
acanthopterygious,FALSE,FALSE
acanthus,TRUE,TRUE
a_cappella,TRUE,TRUE
acapsular,FALSE,FALSE
acardiac,TRUE,TRUE
acaridan,FALSE,FALSE
acarina,TRUE,TRUE
acarine,FALSE,FALSE
acaroid,TRUE,TRUE
acarpellous,FALSE,FALSE
acarpous,FALSE,FALSE
acarus,TRUE,TRUE
acatalectic,TRUE,TRUE
acatalepsy,FALSE,FALSE
acataleptic,FALSE,TRUE
acater,FALSE,FALSE
acates,FALSE,FALSE
acaudate,FALSE,FALSE
acaulescent,FALSE,TRUE
acauline,FALSE,FALSE
acaulose,FALSE,FALSE
acaulous,FALSE,FALSE
accadian,TRUE,TRUE
accede,TRUE,TRUE
accedence,TRUE,TRUE
acceder,TRUE,TRUE
accelerando,TRUE,TRUE
accelerate,TRUE,TRUE
acceleration,TRUE,TRUE
accelerative,FALSE,TRUE
accelerator,TRUE,TRUE
acceleratory,FALSE,FALSE
accelerograph,FALSE,FALSE
accelerometer,FALSE,TRUE
accend,FALSE,FALSE
accendibility,FALSE,FALSE
accendible,FALSE,FALSE
accension,FALSE,FALSE
accensor,FALSE,FALSE
accent,TRUE,TRUE
accentless,TRUE,TRUE
accentor,TRUE,TRUE
accentuable,FALSE,FALSE
accentual,FALSE,TRUE
accentuality,FALSE,FALSE
accentually,FALSE,FALSE
accentuate,TRUE,TRUE
accentuation,TRUE,TRUE
accept,TRUE,TRUE
acceptability,TRUE,TRUE
acceptable,TRUE,TRUE
acceptableness,TRUE,TRUE
acceptably,TRUE,TRUE
acceptance,TRUE,TRUE
acceptancy,TRUE,TRUE
acceptant,TRUE,TRUE
acceptation,TRUE,TRUE
acceptedly,FALSE,TRUE
accepter,TRUE,TRUE
acceptilation,FALSE,FALSE
acception,TRUE,TRUE
acceptive,TRUE,TRUE
acceptor,TRUE,TRUE
access,TRUE,TRUE
accessarily,FALSE,FALSE
accessariness,FALSE,FALSE
accessary,TRUE,TRUE
accessibility,TRUE,TRUE
accessible,TRUE,TRUE
accessibly,FALSE,TRUE
accession,TRUE,TRUE
accessional,FALSE,FALSE
accessive,FALSE,FALSE
accessorial,FALSE,FALSE
accessorily,TRUE,TRUE
accessoriness,FALSE,FALSE
accessory,TRUE,TRUE
acciaccatura,FALSE,FALSE
accidence,TRUE,TRUE
accident,TRUE,TRUE
accidental,TRUE,TRUE
accidentalism,FALSE,FALSE
accidentality,FALSE,FALSE
accidentally,TRUE,TRUE
accidentalness,FALSE,FALSE
accidie,FALSE,TRUE
accipenser,TRUE,TRUE
accipient,TRUE,TRUE
accipiter,TRUE,TRUE
accipitral,TRUE,TRUE
accipitres,TRUE,TRUE
accipitrine,TRUE,TRUE
accismus,FALSE,FALSE
accite,FALSE,FALSE
acclaim,TRUE,TRUE
acclaimer,FALSE,FALSE
acclamation,TRUE,TRUE
acclamatory,TRUE,TRUE
acclimatable,FALSE,FALSE
acclimatation,TRUE,TRUE
acclimate,TRUE,TRUE
acclimatement,FALSE,FALSE
acclimation,TRUE,TRUE
acclimatizable,FALSE,FALSE
acclimatization,TRUE,TRUE
acclimatize,TRUE,TRUE
acclimature,TRUE,TRUE
acclive,FALSE,FALSE
acclivitous,FALSE,FALSE
acclivity,TRUE,TRUE
acclivous,FALSE,FALSE
accloy,FALSE,FALSE
accoast,FALSE,FALSE
accoil,FALSE,FALSE
accolade,TRUE,TRUE
accombination,FALSE,FALSE
accommodable,TRUE,TRUE
accommodableness,FALSE,FALSE
accommodate,TRUE,TRUE
accommodately,FALSE,FALSE
accommodateness,FALSE,FALSE
accommodating,TRUE,TRUE
accommodation,TRUE,TRUE
accommodator,FALSE,TRUE
accompanable,TRUE,TRUE
accompanier,FALSE,FALSE
accompaniment,TRUE,TRUE
accompanist,TRUE,TRUE
accompany,TRUE,TRUE
accompletive,FALSE,FALSE
accomplice,TRUE,TRUE
accompliceship,FALSE,FALSE
accomplicity,FALSE,FALSE
accomplish,TRUE,TRUE
accomplishable,FALSE,TRUE
accomplished,TRUE,TRUE
accomplisher,FALSE,TRUE
accomplishment,TRUE,TRUE
accompt,FALSE,TRUE
accomptable,FALSE,FALSE
accomptant,FALSE,TRUE
accord,TRUE,TRUE
accordable,FALSE,FALSE
accordance,TRUE,TRUE
accordancy,FALSE,FALSE
accordant,TRUE,TRUE
accordantly,FALSE,TRUE
accorder,TRUE,TRUE
according,TRUE,TRUE
accordingly,TRUE,TRUE
accordion,TRUE,TRUE
accordionist,FALSE,TRUE
accordment,FALSE,FALSE
accorporate,FALSE,FALSE
accost,TRUE,TRUE
accostable,FALSE,FALSE
accosted,TRUE,TRUE
accouchement,TRUE,TRUE
accoucheur,TRUE,TRUE
accoucheuse,TRUE,TRUE
account,TRUE,TRUE
accountability,TRUE,TRUE
accountable,TRUE,TRUE
accountableness,TRUE,TRUE
accountably,TRUE,TRUE
accountancy,TRUE,TRUE
accountant,TRUE,TRUE
accountantship,FALSE,FALSE
account_book,TRUE,TRUE
accouple,FALSE,FALSE
accouplement,FALSE,TRUE
accourage,FALSE,FALSE
accourt,TRUE,TRUE
accouter,TRUE,TRUE
accoutre,TRUE,TRUE
accouterments,TRUE,TRUE
accoutrements,TRUE,TRUE
accoy,FALSE,FALSE
accredit,TRUE,TRUE
accreditation,FALSE,TRUE
accrementitial,FALSE,FALSE
accrementition,FALSE,FALSE
accresce,FALSE,FALSE
accrescence,FALSE,FALSE
accrescent,FALSE,FALSE
accrete,FALSE,TRUE
accretion,TRUE,TRUE
accretive,TRUE,TRUE
accriminate,FALSE,FALSE
accroach,FALSE,FALSE
accroachment,TRUE,TRUE
accrual,FALSE,TRUE
accrue,TRUE,TRUE
accruer,FALSE,FALSE
accrument,FALSE,FALSE
accubation,FALSE,FALSE
accumb,FALSE,FALSE
accumbency,FALSE,FALSE
accumbent,FALSE,TRUE
accumber,FALSE,FALSE
accumulate,TRUE,TRUE
accumulation,TRUE,TRUE
accumulative,TRUE,TRUE
accumulator,TRUE,TRUE
accuracy,TRUE,TRUE
accurate,TRUE,TRUE
accurately,TRUE,TRUE
accurateness,FALSE,TRUE
accurse,FALSE,FALSE
accursed,TRUE,TRUE
accurst,TRUE,TRUE
accusable,FALSE,FALSE
accusal,TRUE,TRUE
accusant,FALSE,FALSE
accusation,TRUE,TRUE
accusatival,FALSE,FALSE
accusative,TRUE,TRUE
accusatively,FALSE,TRUE
accusatorial,FALSE,TRUE
accusatorially,FALSE,FALSE
accusatory,TRUE,TRUE
accuse,TRUE,TRUE
accused,TRUE,TRUE
accusement,FALSE,FALSE
accuser,TRUE,TRUE
accusingly,TRUE,TRUE
accustom,TRUE,TRUE
accustomable,FALSE,FALSE
accustomably,FALSE,FALSE
accustomance,FALSE,FALSE
accustomarily,FALSE,FALSE
accustomary,FALSE,TRUE
accustomed,TRUE,TRUE
accustomedness,TRUE,TRUE
ace,TRUE,TRUE
aceldama,TRUE,TRUE
acentric,FALSE,TRUE
acephal,FALSE,FALSE
acephala,FALSE,FALSE
acephalan,FALSE,FALSE
acephali,FALSE,FALSE
acephalist,FALSE,FALSE
acephalocyst,FALSE,FALSE
acephalocystic,FALSE,FALSE
acephalous,TRUE,TRUE
acequia,TRUE,TRUE
acerate,FALSE,FALSE
acerb,TRUE,TRUE
acerbate,FALSE,FALSE
acerbic,FALSE,TRUE
acerbitude,FALSE,FALSE
acerbity,TRUE,TRUE
aceric,FALSE,FALSE
acerose,FALSE,TRUE
acerous,FALSE,FALSE
acerval,FALSE,FALSE
acervate,FALSE,FALSE
acervation,FALSE,FALSE
acervative,FALSE,FALSE
acervose,FALSE,FALSE
acervuline,FALSE,FALSE
acescence,FALSE,FALSE
acescency,FALSE,FALSE
acescent,FALSE,TRUE
acetable,FALSE,FALSE
acetabular,FALSE,TRUE
acetabulifera,FALSE,FALSE
acetabuliferous,FALSE,FALSE
acetabuliform,FALSE,FALSE
acetabulum,TRUE,TRUE
acetal,FALSE,TRUE
acetaldehyde,FALSE,TRUE
acetamide,FALSE,TRUE
acetanilide,FALSE,TRUE
acetarious,TRUE,TRUE
acetary,FALSE,FALSE
acetate,TRUE,TRUE
acetated,FALSE,FALSE
acetic,TRUE,TRUE
acetification,FALSE,FALSE
acetifier,FALSE,FALSE
acetify,FALSE,FALSE
acetimeter,FALSE,FALSE
acetimetry,FALSE,FALSE
acetin,FALSE,TRUE
acetize,FALSE,FALSE
acetol,FALSE,FALSE
acetometer,FALSE,FALSE
acetonaemia,FALSE,FALSE
acetonemia,FALSE,FALSE
acetone,TRUE,TRUE
acetonic,FALSE,FALSE
acetonuria,FALSE,FALSE
acetophenone,FALSE,FALSE
acetose,FALSE,FALSE
acetosity,FALSE,FALSE
acetous,TRUE,TRUE
acetyl,FALSE,TRUE
acetylene,TRUE,TRUE
ach,TRUE,TRUE
ache,TRUE,TRUE
achaean,TRUE,TRUE
achaian,TRUE,TRUE
acharnement,TRUE,TRUE
achate,FALSE,FALSE
achatina,TRUE,TRUE
achatour,FALSE,FALSE
achean,TRUE,TRUE
achene,TRUE,TRUE
achenium,FALSE,FALSE
achenial,FALSE,FALSE
acheron,TRUE,TRUE
acherontic,FALSE,FALSE
a_cheval,TRUE,TRUE
achievable,TRUE,TRUE
achievance,FALSE,FALSE
achieve,TRUE,TRUE
achievement,TRUE,TRUE
achiever,TRUE,TRUE
achillean,TRUE,TRUE
achilles_tendon,TRUE,TRUE
achilous,FALSE,FALSE
aching,TRUE,TRUE
achiote,FALSE,TRUE
achlamydate,FALSE,FALSE
achlamydeous,FALSE,FALSE
acholia,FALSE,FALSE
acholous,FALSE,FALSE
achromatic,TRUE,TRUE
achromatically,FALSE,FALSE
achromaticity,FALSE,FALSE
achromatin,TRUE,TRUE
achromatism,FALSE,FALSE
achromatization,FALSE,FALSE
achromatize,FALSE,FALSE
achromatopsy,FALSE,FALSE
achromatous,FALSE,FALSE
achromic,FALSE,FALSE
achronic,FALSE,FALSE
achroodextrin,FALSE,FALSE
achrooedextrin,FALSE,FALSE
achroous,FALSE,FALSE
achylous,FALSE,FALSE
achymous,FALSE,FALSE
acicula,FALSE,FALSE
acicular,TRUE,TRUE
aciculate,FALSE,FALSE
aciculated,FALSE,FALSE
aciculiform,FALSE,FALSE
aciculite,FALSE,FALSE
acid,TRUE,TRUE
acidic,TRUE,TRUE
acidiferous,FALSE,FALSE
acidifiable,TRUE,TRUE
acidific,FALSE,FALSE
acidification,FALSE,TRUE
acidifier,TRUE,TRUE
acidify,TRUE,TRUE
acidimeter,FALSE,TRUE
acidimetry,FALSE,TRUE
acidity,TRUE,TRUE
acidly,TRUE,TRUE
acidness,FALSE,FALSE
acid_process,FALSE,TRUE
acidulate,FALSE,TRUE
acidulent,FALSE,FALSE
acidulous,TRUE,TRUE
acierage,FALSE,FALSE
aciform,FALSE,FALSE
acinaceous,FALSE,FALSE
acinaces,FALSE,FALSE
acinaciform,FALSE,FALSE
acinesia,FALSE,FALSE
acinetae,FALSE,FALSE
acinetiform,FALSE,FALSE
aciniform,FALSE,FALSE
acinose,FALSE,FALSE
acinous,FALSE,FALSE
acinus,FALSE,TRUE
acipenser,FALSE,TRUE
aciurgy,FALSE,FALSE
acknow,TRUE,TRUE
acknowledge,TRUE,TRUE
acknowledgedly,TRUE,TRUE
acknowledger,FALSE,TRUE
acknowledgment,TRUE,TRUE
aclinic,FALSE,FALSE
acme,TRUE,TRUE
acne,TRUE,TRUE
acnodal,FALSE,FALSE
acnode,FALSE,FALSE
acock,FALSE,TRUE
acockbill,FALSE,FALSE
acold,TRUE,TRUE
acologic,FALSE,FALSE
acology,FALSE,FALSE
acolothist,FALSE,FALSE
acolyctine,FALSE,FALSE
acolyte,TRUE,TRUE
acolyth,TRUE,TRUE
acolythist,FALSE,FALSE
aconddylose,FALSE,FALSE
acondylous,FALSE,FALSE
aconital,FALSE,FALSE
aconite,TRUE,TRUE
aconitia,FALSE,FALSE
aconitic,FALSE,FALSE
aconitine,FALSE,TRUE
aconitum,TRUE,TRUE
acontia,FALSE,FALSE
acontias,FALSE,FALSE
acopic,FALSE,FALSE
acorn,TRUE,TRUE
acorn_cup,TRUE,TRUE
acorned,FALSE,FALSE
acorn_shell,TRUE,TRUE
acosmism,FALSE,FALSE
acosmist,FALSE,FALSE
acotyledon,FALSE,FALSE
acotyledonous,FALSE,FALSE
acouchy,FALSE,FALSE
acoumeter,FALSE,FALSE
acoumetry,FALSE,FALSE
acoustic,TRUE,TRUE
acoustical,TRUE,TRUE
acoustically,TRUE,TRUE
acoustician,FALSE,TRUE
acoustics,TRUE,TRUE
acquaint,TRUE,TRUE
acquaintable,FALSE,FALSE
acquaintance,TRUE,TRUE
acquaintanceship,TRUE,TRUE
acquaintant,FALSE,FALSE
