English,Baklese
Hello,Hallouerz!
You’re not from here,Foreynger ka anez?
"Yes, I am",Witikill.
By the way my name is—,"Ay, teh, akez si-"
Remington!,Remington!
Jigs!,Jigs!
Remington? You’re Remington?,Remington? Ikawchi si Remington?
Yup. Do you know me?,Korak. Noseline mo si watash?
You know her?,Noseline mo si kumarz?
She’s Montano’s daughter,Junakis ni Montano!
Let’s go,Gorabelles!
She was my passenger the other day,Rumide si kumarz with me noong isang arawchi.
What did your mom say? ,Anek ang kinuda ng nanay mez?
About what?,Anekwa?
The murders. Is there a suspect?,Sa mga tegibelles. May suspekchina na ba?
Nope,Waley
Who’s the victim?,Sinek ang victimbelles?
Janet Jacksonia,Janet Jokla
Fuck…,Puchikels.
"Why, were you two dating?","Anek, chumecheverlou ba kayez?"
No way!,Witikill!
Drinks at Tabel’s tonight,Nomubelles kila Tabelle mayachi!
There’s also a party at Kevin’s,May partycles dinchi kay Kevin!
Great!,Bongga!
"Watch the road, you shitheads!","I-shuayt nyez ang jinajaanan nyez, gagibelles!"
Too bad we missed!,Sayangchi!
That’s her house,Yaanchi ang baler ni kumarz.
Whose house?,Baler ninyez?
The girl you were talking to a while ago,Yong girlat na kinukuda mez kaninachi.
Pass it to me,Pasachi nyez sa akin.
Shoot!,Awow!
Dude?,Ate?
"Dude, did you see that?","Tebelles, nashuayt nyez?"
I did! That was solid. You okay?,True! Powerful teh! Keri ka teh?
I don’t mean the ball. The thing that was flying…,Wit yung ballschi. Yong fumaflaylaloo…
Drink up,Drinkamels!
Is this your birthday blowout?,Itey na batchi ang nyortday blownyout mez?
That’s on the twenty-first,Sa kyontipers pa mam.
"Cool, it’s your twenty-first birthday on the twenty-first","Award, kyontipers nyortday mez sa kyontipers!"
That’s right,Truela!
Hey! Are you drinking or not?,Anek? Wit ka ba nonomubelles?
"Hey, handsome lads",Huy! Mga gwapetch na boyla!
Present!,Presentchi!
Sir Biyo!,Mang Biyo!
Who among you want a job?,Sinek ang bet ng trabahobelles?
We’re quite busy,Busy as a bee kamey madam!
I’m short by a few hands,Kulangchi akez ng kyonting handimae.
This doesn’t requires brains which means you’re all perfect,Wit kelangan ng inputbelles ng utakchi kaya more perfect kayey sa role!
Rearranging furniture and cleaning the house is all it is,Liftingbamps lang ng furniturettes and good housekeeping lang namanchi!
"Have a shot with us, sir",Nomo na lang mam!
There’s nothing for me in this nest of lazy drunkards,Witikik akez maeevent ditey sa pugadchi ng batuganbells!
Might as well go back to Mrs Montano’s,Gora na nga akez kay Mrs Montano!
Mrs Montano?,Mrs Montano?
"Yes, why?","True, baketchi?"
The one with a teenage daughter?,Yung may junakis na milat?
You mean Hannah,"Sinek, si Hannah?"
Hannah…,Hannah
An only child. She just got back from Manila,Unikang junakis ang milat. Kumambak from Manilerch
"Game, Jigs and I are up for it",Keri kamey ni Jigs!
Are you sure?,Sureness?
Yes,Check!
Okay. Be there at 8 A.M. ,Keri. Umappear kayez ng 8 sharp!
"Easy on the alcohol, don’t be late",Baka naman pamorningan na namanchi kayey ditey!
"Yes, sir. Don’t worry",Truela! No worries teh!
Second round…,"Oh, nommu pa!"
What about the tricycle?,Panotchi and traykibams kez?
Do the night shift – not enough tricycles at night,Night shift na lang mam! Kulangchi ang traykibels sa gabibelles!
I’ll be your “co-pilot”,Si watash na ang kyondoktor mez!
Wait for me!,Wait mo si watash!
I have to go…,Gora na akez!
Home!,Balerch!
Be there tomorrow,Hoy gorabums ka teh ha!
Sir!,Sir!
Ma’am!,Ma’am!
What?,Anek?
I’m here,Nanditrey na akik.
I know,Noseline kez.
"Lieutenant Martinez, you have no witness, no suspect, no lead","Lietenant Martinez, witikla kang witnesschi, waley na suspectchi, wiz na lead"
Yes,Pak.
"Wow, wow, wow…",Wow boom boom pow…
Do you know what this is doing to our economy?,Noseline mez kung anek ang ikinekyeme nitez sa ating economyez?
Five salons have closed down,Nyimang parloraka na ang nalotlot!
"It shows in my hair, as you can see",More obvious namanchi sa hereri kez
"Besides being kind, our gay townmates only bring joy, beauty, and laughter wherever they go","Besides being bet-able, ang mga kababayanchi nyoting bekibelles only bring joy, beauty, and laughter wherever they go"
Where is Councilor Saliendra?,Saanchi si Councilor Saliendra?
On an emergency family reunion in Davao,More jumutak dawchi sa family get-together sa Davaowibambam!
What about Engineer Saludes?,Si Nyongineer Saludes?
"The subscriber cannot be reached, sir","The nyubscriber cannot be reached, sir."
"Please try your call later, sir ","More attempt na lang laterchi, sir."
Confirmed. They’re all confirmed,"Pak! Everyone, plakchimenelinflokflok!"
"Mayor, it would help a lot if you approved my budget request.","Mayor, more bigamous na helpimae sana kung ijujupprove niyo nachi and bajey request kez"
It’s been pending since 1999,Pending pa yoonchi since 1999
"Patience! My God, you ask for it like it was candy","Pezyent! Oh M, akala mez nyendibells langchi ang hinaharbat mez."
"Okay, I approve the additional 500","Keri, i-jupprove ko na ang additional five kyondred."
"500 thousand pesos, yes!","Five kyondred thousand pieces, pak!"
500 pesos! Celfone load. ,Five kyondred pieces. Load.
Get it from Mutya on your way out,Getchikels mez kay Mutya paglabas mez.
Hey Georgia aren’t you scared? ,You might be the next one to get murdered
Hoy Georgia wiz ka ba nashoshokot?,More ikawchi na ang next in line!
Stupid! My boss is a cop,Bona! Shaiderbelles kayatchi ang bossini kez!
She’ll catch that killer,Majujuli niya ang killeraka
and he’ll rot in jail,bilibidchina ang ending ni brodah!
Clean shave! Are you going to court a girl,Ay power! Eeventchina ka bey ng girlat?
"Introduce me, okay?","Pa-meet-me-halfway mo kay watash, keri?"
Of course!,Sureness!
"Buddies! Come in, come in.",Friendships! Na na na kawown!
Gotta run,Gorabells na akik!
Remington’s going to court a girl,Eeventology ng bilat si Remington
Good!,Pak!
"Make me proud, son",MYPP! Make your pudak proud!
He’s a good boy,Keribells na junakis
"Yes, he is",Truelabels
"Hey, this was your idea. So put in some work","Huy, kawchi ang rumaket nitez. So more workitty nachi"
Just finding my groove,Gumeget-set lang si watash
Are you cold or something?,Witikik ka ba najijinitan sa outfitams mez?
"Sir Biyo, take a break","Mang Biyo, snackaroo muna kayez"
Hannah—,Hannah
"Thank you for the snack, it was delicious.","Tenchu sa snackaroo, betchikola kez, julicious! "
Did you cook it? ,Kawchi ang nagcookibams?
"Ah, your mother did","Ah, ang mudak mez"
Why is she always in black?,Bakitchi laging jutim ang outfitams ni madam?
Is she in mourning? Who died?,Crying ladies ang moda? Sinek ang nategi?
My father,Pudak kez.
I’m sorry,"Ay, sorrybels."
That’s why I came back,Kaya nga akez nagreturn of the comebackchi.
Remember my dad?,Nareminisce mez ang pudak kez?
The one you called “homo”?,More kinyowag mong bekikay?
Me? Why would I do that?,Akez? Bakit ko namanchi ikekyemberlu yonchibels?
"Well, it’s true anyway",Truelaloo namanchi.
Are we okay now? I’ll show you around so you don’t get bored,Keri na tayey?  I-trip to Jerusalem kitey so more wit ka ma-bored to the max.
You didn’t recognize him?,Wit mo na-knows kung sinek itembang?
"It was dark, and his face was covered","Majutim, and more may kyeme ang pezlak."
The serial killer!,Ang serial killeraka!
Have you told your mom?,Ikinuda mo na bey sa mudak mez?
Enter!,Pasokchi!
Out!,Labaschibels!
Hurry up,Bilischiwa!
Next batch!,Next in laynchibels!
He had a tattoo on his chest,May tatubeliaboomboom si kumarz sa chestivams!
A tattoo of what?,Anek na tatubeliaboom?
Mimi! Get out of there,Mimi! Chupi jaanchi!
"But this is the last batch, chief","Huling kyemerut na itey, mam!"
"Get out, all of you","Chupi, lahatchi kayembang!"
Did you tell your Pa?,Kinuda mo na ba itey sa pudak mez?
"Son, is there something you want to tell me?","Junakis, may bet ka bang ikuda kay watashi?"
Are you gay?,"Junak, bekibells ka bey?"
Ma!,Mudrakels!
Then it’s not the serial killer that attacked you,Eh witikla ang nyirial killeraka ang chumever sayochi
How can you be so sure?,Sureness?
So far all his victims are gay,Eh more lahatchi ng victibelles eh bekirut.
"Besides, the cuts on your body – that’s not how he operates","And more yung slashibamps sa figuraka mes, wit ganyan ang nyodus operandibams ni kumarz"
Maybe it was…,Bakatchi…
a drug addict,shabu-shabubells!
"Remington, what do you plan to do after the summer? After the fiesta? ","Remington, anek ang bet mez after the summer collection? After pahiyez?"
I’ll help out at the store,Assistantchi na lang akez sa pansiteryey.
Is that what you really want?,Yaanchi ba ang trulang heart’s desire mez?
Don’t you want to go back to school?,Wit mo ba bet mag-back to schoolembang?
Your aunt’s offer is still good. ,Keri pa namanchi ang kyemerut ni Auntie Bangge mez.
But that’s not what Papa wants,Eh yoonchi ang bet ni Pudak eh.
You’re not a boy anymore,Wititit ka na batit.
"Manila’s so crowded anyway, and polluted","Mashukip na mam sa Manilerch, more majohu and madyumi"
Do you want me to get—,Bet mo ba si watash na
Lung cancer. I’ve heard that one before.,Lung Cancer. Noseline ko na yanchi.
"Besides, what good will it do me going there? I’m okay being here.","Tsaka, anek naman ang ikagaganda ng beauty kez doonchi? Keri na akey ditey."
It’s your life,Life story mo yanchi.
"I’ll close up and wait for you here. Bye, baby!","Closing number lang akik ditey, more wait ang beauty ni watash. Babu, bebekels!"
"Sorry, we’re closed","Sorrybels, closure na kamey."
Just a trim?,Trimbaley?
Okay,Keri
Nice ring tone!,Ay power ng ringtone mez!
You brought a hair dryer? I’ve lots of that here.,Nag-bringalerch ka pa niyanchi! Dami niyan ditey! 
"Besides, that’s for later.",And more lateraka pa yanchi.
Let’s go,Gorabums!
"Jigs, do you think we know the killer? Maybe he’s from here.","Jigs, more noseline kaya natinchi ang killeraka? Malaysia galingchi pala si kumarz ditey."
"Hey, where are we?",Saanchi na tayez?
What’s up?,Anek?
Something happened to Tonya,May kyumeme kay Tonya
Where’s Remington?,Saanchi si Remington?
He left already,Jumuwela na.
He told me to wait,Siney niya waitabels ko siyatchi.
Where are we?,Saanchi na tayey?
Who are you?,Sinekwabams?
What do you want?,Anek ang bet mez?
Hey!,Hoy!
Where’s Sir Biyo? He said you were having your house decorated for the fiesta,Saanchi si Mang Biyo? Kuda niya more pabyutihin itey baler mez for pahiyez.
Didn’t he tell you? There’s no work here today,Wit ba niya na-say sayez? Witiklang workitty ngayonchi.
They ran out of fuschia-colored rice paper,Nauboschi ang kipingbells na fuschia
Mommy said why not do the entire house in black?,"More saysung ni Mudrakels, blackchina na lang dawchi. "
Incredible.,Eeew.
Where’d all your stuff go? You could skate in here,Saanchi ang mga furniturebells nyez? Keri nang magskeytchiwa ditey!
Mommy doesn’t want to see anything that reminds her of Daddy,Wit bet ni mudak na maka-shuayt ng mga kyember about pudak.
Yet she continues to stay,Eh ditey pa rin namanchi ang beauty ni kumarz.
That’s why I had to come back,Kayachi more nagreturn of the comeback akik ditey.
Bad trip. Fucking shit,Kalerks. Byongkibels.
What am I supposed to do in this town? ,Everything’s in slow motion.
Anek ang ikekyember kez sa bayang itey?,More slowmobels ang moda ng mga utaw.
And everyone likes to stare.,Bet ng mga utawchi na jumunganga na langchi.
What do you plan to do here?,Anek ang bet mong gawin ditey?
I’ll continue my studies. And start a business.,Schoolembang. And more magbibusinesschi.
I’ll turn downstairs into a dorm for students. ,Transform kez ang baba na dorimity for schudentschi
"No, a billiard hall is better! ","Wit, billiardbells ang mas keri!"
A hangout for bums – that’s what’s in demand here.,Shombayan ng mga irrelebels! Yoonchi ang trending topic ditey.
Ouch,Award.
Huh?,Anek?
Huh?,Anek?
"Okay, bye","Keri, byechi."
"Hannah, wait","Hannah, weiramoo."
What is it?,Anekwabams?
Ten snaps for the makeup!,Bet ko ang mukap ah! Infernezz!
I mean—,More…
I know,Noseline kez!
You really think it’s okay? ,Keri lang bachi?
You betcha! ,Plaanjing neckline with matching beads! 
"Sister, you look fab.","Powerful, teh. Wee-ner."
"Hi, mumsie!",Hi mudrakels!
"Good morning, ma’am","Mahatma gandith na morning to you, maam."
"Good morning, too, son",Magandiz na morning din sayochi.
There’s no work here today,Waley na workity ditey ngayonchi.
"Yes, ma’am… Han-nah… told… me",Truelaloo. Kinuda sa akinchi ni Hannahbels.
I didn’t know you were funny,Wit ko knows na comedy barchi ka paley!
Must dash. I have to mind the store.,"Popsie might go Rambo, bang-bang. Bang. Bye!"
I didn’t get everything he said but I like the sound of it… ,"Wit kez nagetchina ang kinuda niya, pero betchikola kez ang sound of music. Gora na akech…"
Mom’s cooking a yummy afternoon snack. Drop by!,Nagcookiebels si mudrakels ng julicious na snackaroo! Gora ka ditey later!
"Hey, isn’t that Georgia’s shirt?","Hey, shirtibams ni Georgia yaanchi!"
And the Oscar goes to!,Award
What’s wrong with him?,Anek ang problematize ni kumarz?
"Remington, what’s the matter with you?","Remington, anek ang eventology sa yochi?"
Sink,Lavavoomvoompowchi
Mirror,Salaminchenelin
Towel,Twaley
Bucket,Timbaleigh
Toilet,Inidoradaexplorechenebels
Door-othy!,Door-othy!
Serviette,Serviette
FarrahFacett,FarrahFacett
Sink or swim,Sink or swim
Mirror mirror on the wall,Mirror mirror on the wall
Bouquet,Bouquet
"John Holmes of Flushing, Queens!","John Holmes of Flushing, Queens!"
Oh no!,Oh no!
Fucky sucky yuchy!,Shutanginamez!
Fiesta’s almost here,Impending doomchi na ang fiestabels
So?,Anek?
After the fiesta another school year starts,More after ng fiestabels bagong taonchi na namanchi sa schoolembang
Maybe it’s time you let Remington go to Manila to finish school,Baka naman keri na ni Remington gumora sa Manilerch for more schoolembang affairs
He can stay with his aunt,More keri siyang gumorabels doonchi sa titabels niya.
I never said he couldn’t go. It’s he who doesn’t want to,Wit ko naming si-ney na wit siya kering gumora doonchi. Si kumarz ang wit bet gumora doonchi.
He’s afraid they’ll make him a house boy,Jujulilain lang daw siya doonchi.
"And besides, he doesn’t want to get lung cancer","Moreover, wit niya winish upon a star na magka-lung cancerchi."
Where was I…,Saanchi na akez.
"Confirmed! To all you gays, homos, fags, fairies, queers, queens,","Plakchimenelinflokflok! More kaya sa inyongching mga bakla, jokla, bading, juding, tukling, udang, bayot, gay, sward and last but not least, those still in the closet – "
go easy on the cruising. ,"and in addition to sa mga pa-mhintachi, wit na muna rumampa all over."
It’s safer to do it in groups so why not hold orgies instead? Joke!,"If bubooking kayo mga kumarz, wit na ang retailchi, more wholesale, mag-orgy na lang para safeguard! "
"Townmates, if you have any information that could help us catch the killer please do not hesitate to call us…","Friendships, kung may noseline kayez na info na kering jumulalay sa pag kyember sa killeraka, more wit nashokot na i-calling card kamey."
"You know what, beauty pageants were created for women. But for the pleasure of us men.","You know mga kumarz, yang mga byukon na yaanchi ay mi-nade in china para sa mga merla. Pero for the pleasing personality nating mga papable!"
"Sometimes, though, they can be quite amusing","Pero minsanchi, najujuwa namanchi akik sa kanilachi."
Who?,Sinek?
"The homos and their pageants, especially the question and answer","Yung mga bekibels sa mga byukon, more doochi sa Q & A"
"Like, for example?","Anek, samplingbels?"
I don’t remember. But they crack me up. They’rehideous!,Wit ko mareminisce. Pero more crowa more fun akik. Kasi angchachaka nila!
"Hey you, this conversation is only for humans.","Veks, for human consumption lang itey na jusapan ditey!"
How are you?,Mustasa?
"Son, we’re drinking at Berting’s tonight. Join us, okay?","Junakis, nonomu kami kila Mang Berting laterching nightlife. Gora ka ha!"
Surely Temple!,Keribells
What?,Anek?
"Don’t be afraid, Isko. We’ve kept your identity secret.","Wit ka mashokot, Isko. Ishoshogo naman namin ang identity mes."
What can you tell me about that night?,Anek ang machichika mo sa amin noonchibels gabing yonchi?
Tonya and I were supposed to meet at her salon,More dapat isasightsung ko si Tonyabels sa salonchi niya 
"A gray, box type Lancer. Remember anything else?",A graysung box-type Lancerchi. Anek pa ang na-reminisce mez?
"That’s it, Ma’am Fe.","Yoonchi lang, Aling Fe."
"Oh, the gun that he used – I’ve seen it before","Pero yoonching nyoril na kinyeme niya, nasightsung ko na yoonchi."
Where?,Saanch?
My classmate Ernesto Manansala invented it,"Ininventory ng classmate kez sa schoolembang, si Ernesto Manansala."
"Ernesto, relax","Ernesto, relaxationchibels"
Do you remember your thesis project?,Na-reminisce mo bachi iteklang thesis project mez?
The thing you invented so you can tell if a goat was gay and will not mate—,Yung ininventory mo so more icheck or i-wit if beki ang kambingchi.
The gaydar,Gaydarifanggabels
I lost it,Nalost and found kez.
Liar!,Echosera!
What does the gaydar do?,Anek ba ang nagogyowa ng gaydarifanggabels mez?
It can detect homosexuality in animals,Keri niyang i-check ang pagkabeki ng mga junimal.
Unfortunately there was a fatal accident with the goat I tested,Pero may something uneventful na umevent noonching tinest nambonggs sa kambingchi.
"Once I fix the animal gaydar, it will help improve the productivity of cattle raisers","Pero pag keri na ang gaydar, more majijimprove nitekla ang pagkapower ng mga nagjujulaga ng mga junimals"
"And gay animals will be put to better use, as pets or commercial models ","More ang mga beking junimals eh kering magyomit bilang petschiraka, las vegas mowdels"
Homosexuality exists in all animal species,May beki sa lahatchi ng junimal speciesbels. 
It was by accident that I discovered the correlation of the biochemical properties of homosexual animals to the electron discharge of the—,More accident pronechi lang ang pagka-discovery channel kez sa correlation ng biochemecheme kyemberlu ng mga beking junimals sa julectron chorva ng-
Ernesto…,Ernesto
What happened?,So anek ang event?
I don’t know,Wit ko knows
You’re nothing but a!,Witikla kachi!
Mimi!,Mimi
Where is the gaydar?,Saanchi ang gaydarifenggabels?
It was stolen,Nisnatchibels eh
“Dynamite!”,Kaboomboompow!
"Next he takes off his pants. She goes, “Wow! Really dynamite!”",More jinubadchi ni kumarz ang pantalonchi. “Wow! Kaboomboompowchi!”
"But when he removes his briefs she says, “What’s that, the wick?”","More jinubadchi ni kumarflith and briefanny Murphy. “Anek yaanchi, sinulidbels?”"
What’s this?,Anek itey?
"Hey Suarez, are you going to perm my hair?","Huy Suarez, ikukerlibams mo bachi ang hereri ni watashi?"
It’s so girly…,Merlat na merlat…
or should I say so gay?,Or more beking beki!
Berting is a faggot,Judarl si Berting!
You’re the killer?,Ikawchi ang killeraka?
We are,Tayochi.
Your mom will get upset when she sees your room this messy,Maiimbey na namanchi ang mudrak mez pag nashuayt na ganitey kachaka ng room mez
I have a prob—,May problemat_
Go ahea—,Gora-
Forget mine. What’s bothering you?,Forgetchina mo na. Anek ang jumajagabag sayochi?
Diana Rose another,Another Diana Rose
It’s Berting,Bertingchi!
The tapioca vendor who just separated from his wife,Yung nagkyokyonda ng sagochi na separada sa jusawa nyez.
This only means that—,Wankabels lang ang meaning nitey
He’s confirmed,Confeerm
Just when he was starting to enjoy his life,More starting step palangchi siya sa pag-enjoy sa lifestory niya
"Ma’am, I have the list of the gray box type Lancer owners","Madam, more listeraka ng mga jowners ng graysung box-type lancerchi"
What are you doing here?,Anek ang event mo ditey?
My father threw me out,Chinever akez ni pudak eh.
Your mom let me in. You were already sleeping,Pinajosok na akik ng mudak mez. Sleeping beauty ka na mam
Damn you
You don’t want me sleeping here?,Wit mo ba akik bet masholog ditey?
It’s not that. You frightened me,Wititit namanchi. Shinokot mo ako eh.
"I had a fight with my Pa. Damn it, too much drama!","Nagjombagan kami ni Pudak. Shutang, more like a teleserye mam."
"Jigs, I also have a problem","Jigs, may problematize aketch"
Huh?,Anek
Someone is after me. Like Death!,"May umiimbey sa akin. Like hello, death."
What?,Anekwa?
Nothing!,Waley!
"Bro, is there a problem?","Brodah, may problematize kabachi?"
That’s what I’m trying to say!,Yun nga nga ang sine-say ko!
Whatever it is you can tell me,Kung anek man yan keri mong i-kuda sa akinchi.
Can I sleep over tonight?,Keri ba akik makisholog tonight?
Still at war with my father,Rambo pa kami ni fudra
Okay if I sleep next to you again?,Keri lang sumet-aside sayochi?
- I’ll park,- Okay
Parkibels ko lang tochi.,Keribels
- Is Sir Biyo here?,Nanditrey na bachi si Mang Biyo?
Have a snack with us,Snackaroo ka muna teh
Are you sure it’s okay? ,Sureness ka bam am na keribels ka?
I should go. I have… thingz
"Hello, Miss Beautiful","Hellourch, Miss Beautiful!"
How are you?,Mustasa?
I missed you,Missyuteh.
For real?,Sureness?
"Really, I did",Taru!
Why?,Baketchi?
Why?,Baketchi?
You make me feel so much… 
I believe you make me want to experience new things in the world
and discover things about myself that even I did not know before
I do believe I become myself when I am with you
I thank you
"Later, girlfriend!"
“Girlfriend?” Already?,Gufrabels? Angfast and furious namanchi!
Tell me where you got the love potion,Anek ang pinakeme mo dun sa merlabels?
Why is Hannah acting so sweet all of sudden?,More sweet more fun na ang moda ni bruha
You’re almost there – inside her pants,Slight na langchi ko-quota ka na teh
"My God, Jigs. Have a little respect for the girl.","OM, Jigs, more respect namanchi para doonchi sa merlaloo."
You really have a problem. ,May shopak ka sa ulobels.
"Let’s eat, it’s on me…","Lafang na tayey, treat kez…"
next time!,Next time!
Remember when we used to jump over there?,MMK teh noonching juma-jump all-over pa tayey ditez
We wanted to see who could go higher,More sightsung natinchi kung sinek ang makakagora to the highest level
One time you landed on a carabao (water buffalo),One time najulog ka sa kalabawchi 
I had to carry you all the way to your house,More hand carry pa kitey pajuwi ng baler mez
Remember?,Najulala mez?
We were still in grade school ,More elementary schoolembang pa tayey noonchi
- Why so quiet?,Bakit juhimik kez?
- Nothing,Waley
I think we were in fifth grade…,Grade paybsung tayey noonchi
Where are you going?,Saanchi ka gogora teh?
I can’t stand it anymore.,Wit ko na keri itey!
- The store?,Ditey sa pansiteryey?
"- No, stupid!","Wititit, bona!"
I’m leaving.,Juwela na akey
"Hey, nice bag!",In fairness sa vagels! 
"Thanks, I got it cheap",Tenchu! Murayta lang to!
It’s a winner. Wait! ,Powerful day. Waitchikola
You understand what I’m saying?,Nagegets mo akey?
Of course,Korak!
"Remington, I don’t want to die yet","Remington, wit ko pa bet machugi!"
"What’s wrong, girl?",Bakit ba girl?
Look at me closely,Inspect mo si watash ng up close and personal
A makeover?,Make-over?
I’m gay! One look at me and you know,Beki akez! More one look lang teh confirmed mo na! 
"Remington, they’re killing the gays in this town","Remington, chinuchugi ang mga veklerin sa place na itey!"
I’m out of here,Gora na akez
"Goodbye, Remington","Babu, Remington"
"Wait, Georgia!","Wait, Georgia!"
Please stay,Ditey ka munachi
I need you,"Need kita ng bonggs, teh."
You do?,Truelaloo?
You’re the only who one who understands me,Kaw langchi ang nakakagets sa akin!
Really?,Sureness?
I’ve got a problem,May problem aketch
There’s this guy that’s been haunting me ,"Tapos ngayon, more-visit itembangching mumu mackarel"
He’s got a nice body but no face,"na in furnace, barurot, pero kashokot, witiz ang pezkaboom"
First he shaved off all the hair on my body,"Iminay-i-pluck-pluck ang aking mga hereri,"
Then he tied my tongue in a knot,"my dila was tangled ng bonggs,"
And then he did something to my heart so now,pina-silky soft and smooth ang heart ni atashi
I’m falling for my best friend!,then nabebetan ko na eni eni si bestfriend
I don’t know what to do next,tapos wit ko na knows ang next stepping stones akez!
You know what? ,Noseline mez? 
It’ll be a pity if you turned gay.,Sayangchi kung bekibells ka 
You’re too handsome,Havey pa naman ang pezlak mez
Sis!,Sis!
That’s not a politically correct thing to say,Wit yan politically correct na ikuda!
The gay community will not approve!,Wit yan majujupprove ng beki community!
I don’t care. ,Kebs
"Sis, help me!","Sis, help mo akey."
I know,Noseline ko na teh
What?,Anek?
I know!,Nosechina na ni watashi
What?,Anekwabums?
"Mister faith healer, tell us what to do","Mister arbularchi, anek ang dapat naming ikyeme?"
It’s not me you want – I’m just the assistant. ,"Wit akey mga teh, - PA lang akez ditey"
Looking for me?,Akez ba ang nilulook forward nyez?
"Hi, love!",Hellerch papables!
I know him!,Knowschina ni wata si atebels!
He put a curse on me when I was a little boy,Si atebels ang chumever kay watashi noonching batit pa akey!
Shush!,Shhh!
You need to find him,Si kumarz ba ang hinahanap nyorch!
"The pageant’s motif is ancestral homes, that’s why they’re here","Mga tanderakang balerchi ang motif ng byukon, kaya more nanditrey silachi"
That’s a lot of bull,Charot pempengco
They’re all so lovely,Gandis nila anek?
No way. You’re lovelier by far,"Wittie! Mas Bethany Murphy ka pa, keigh?"
Truly!,Truly!
Do you play?,Knowchina mo bang magpiano?
No,Wit!
I think you do,More I think noseline mez.
"Look at those fingers, long like candles","Sense mo mga fingerets mez, footlong like crazy"
Flatterer,Echosera
My daddy used to tell me - those with fingers like candles should play the piano,Chika sa akin ni pudak – powerful daw magchever ng pianobels ang mga candle-like fingeroo.
He said mine looked like candlewax dripped on them,Yung fingeraka kez more nasholoan langchi ng espermabels
Come,Kamown
That’s all I know,Yoonchi lang ang knowchina ni watash
I knew you could play,Sabi na nga ba knowschina mez magchever
You call that playing?,Yoonchi aba ang knowschina?
We used to have a piano,More may pianobels kasi kami noonchi
So you took lessons,So more naglearning program ka?
No. I got scared.,Wit. Nashokot ako eh.
Huh?,Anekwa?
When the teacher came ,Noonching lumanding ang teacheraka
I ran,Jumescape si watashi
Why did you do that?,Bakitchi?
"Sorry, Remington","Forgiveness, Remington"
What for?,Anekwa? Saanchi?
I was wrong about you,More witikill akez about you
I thought boys were all the same,More I thought lahat ng boylets same same langchi
Turns out you’re different,More differential pala ang moda mez
Even the way you talk is different,Kahitchi yung mga kuda mez differential calculus
Hannah-,Hannah
But most of all you make my mom happy,"Furthermore, napapalaughout loud mo si mudak"
and that makes me happy,najojoy to the world din ang moda kez
"Hannah, I have to tell you something","Hannah, may ikukuda akez sayo"
I think I know what it is,More I think knowschina ko na yanchi
My answer is yes!,Check ang response kez!
"It’s not that, it’s not that!",Wit! Wit! Wit yonchi!
